 0: j=1, i=18 -->  rcv_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  snd_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  rcv_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  snd_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  rcv_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  snd_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  rcv_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  snd_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  rcv_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  snd_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  rcv_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  snd_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=18 -->  rcv_buf[0,0,3]=(1.18e+061.18e+061.18e+06)
 0: j=1, i=19 -->  snd_buf[0,0,3]=(1.19e+061.19e+061.19e+06)
 0: j=1, i=19 -->  rcv_buf[0,0,3]=(1.19e+061.19e+061.19e+06)
 0: j=1, i=19 -->  snd_buf[0,0,3]=(1.19e+061.19e+061.19e+06)
 0: j=1, i=19 -->  rcv_buf[0,0,3]=(1.19e+061.19e+061.19e+06)
